date,product,quantity,amount,region,customer_id
2024-01-15,Laptop,2,2400.00,North,C001
2024-01-16,Mouse,15,225.00,South,C002
2024-01-17,Keyboard,8,640.00,East,C003
2024-01-18,Monitor,3,900.00,West,C001
2024-01-19,Laptop,1,1200.00,North,C004
2024-01-20,Headphones,10,500.00,South,C002
2024-01-21,Webcam,5,300.00,East,C005
2024-01-22,SSD,6,900.00,West,C003
2024-01-23,RAM,12,1200.00,North,C004
2024-01-24,Monitor,2,600.00,South,C006
2024-01-25,Laptop,1,1200.00,East,C001
2024-01-26,Mouse,20,300.00,West,C002
2024-01-27,Keyboard,10,800.00,North,C007
2024-01-28,Headphones,8,400.00,South,C003
2024-01-29,Monitor,4,1200.00,East,C008
2024-01-30,Laptop,2,2400.00,West,C004
2024-01-31,SSD,7,1050.00,North,C005
2024-02-01,RAM,15,1500.00,South,C006
2024-02-02,Webcam,3,180.00,East,C007
2024-02-03,Keyboard,12,960.00,West,C001
2024-02-04,Monitor,5,1500.00,North,C008
2024-02-05,Headphones,6,300.00,South,C002
2024-02-06,Mouse,25,375.00,East,C003
2024-02-07,Laptop,3,3600.00,West,C004
2024-02-08,SSD,8,1200.00,North,C005
2024-02-09,RAM,10,1000.00,South,C006
2024-02-10,Webcam,4,240.00,East,C007
2024-02-11,Keyboard,9,720.00,West,C008
2024-02-12,Monitor,2,600.00,North,C001
2024-02-13,Headphones,12,600.00,South,C002
2024-02-14,Laptop,1,1200.00,East,C003
2024-02-15,Mouse,18,270.00,West,C004
2024-02-16,SSD,5,750.00,North,C005
2024-02-17,RAM,8,800.00,South,C006
2024-02-18,Monitor,3,900.00,East,C007
2024-02-19,Keyboard,7,560.00,West,C008
2024-02-20,Headphones,9,450.00,North,C001
2024-02-21,Webcam,6,360.00,South,C002
2024-02-22,Laptop,2,2400.00,East,C003
2024-02-23,Mouse,22,330.00,West,C004
2024-02-24,SSD,4,600.00,North,C005
2024-02-25,RAM,11,1100.00,South,C006
2024-02-26,Monitor,6,1800.00,East,C007
2024-02-27,Keyboard,11,880.00,West,C008
2024-02-28,Headphones,5,250.00,North,C001
2024-02-29,Laptop,1,1200.00,South,C002
2024-03-01,Webcam,8,480.00,East,C003
